Row Idx,Title,Candidate Idx,Candidate Title,Score
3825,New Kids On The Block - I’ll Be Loving You (Forever),276588,New Kids On The Block - I'll Be Loving You (Forever),0.8919184109058321
3826,Breathe - How Can I Fall?,223735,Breathe - How Can I Fall ?,0.6990365552123707
3827,Milli Vanilli - Baby Don’t Forget My Number,292211,Milli Vanilli - Baby Don't Forget My Number,0.9472250851691201
3828,Martika - Toy Solider,315274,Martika - Toy Soldiers,0.7363458973360874
3829,Paula Abdul - Forever Your Girl.,223844,Paula Abdul - Forever Your Girl,0.8756973570359039
3830,Mike and The Mechanics - The Living Years,223908,Mike & The Mechanics - Living Years,0.954133405706753
3831,The Bangles - Eternal Flame,223982,The Bangles - Eternal Flame,0.9970085442344498
3832,Tone Loc - Wild Thing,224002,Tone-Loc - Wild Thing,0.7268849921107311
3833,Bad English - When I See You Smile,348751,Bad English - When I See You Smile,0.9980972584045282
3834,Cher - If I Could Turn Back Time,246504,Cher - If I Could Turn Back Time,0.9984949181351911
3835,Neneh Cherry - Buffalo Stance,224200,Neneh Cherry - Buffalo Stance,0.9994833416557773
3836,Sheriff - When I’m With You,302780,Sheriff - When I'm With You,0.8396742801006902
3837,Taylor Dayne - Don’t Rush Me,224318,Taylor Dayne - Don't Rush Me,0.8997862719752221
3838,Bon Jovi - Born To Be My Baby,224354,Bon Jovi - Born To Be My Baby,0.9975578751350067
3839,Fine Young Cannibals - Good Thing,224410,Fine Young Cannibals - Good Thing,0.999060146634943
3840,Sheena Easton - The Lover In Me,224463,Sheena Easton - The Lover In Me,0.9971032460447009
3841,Young M.C. - Bust A Move,224574,Young MC - Bust A Move,0.6420255546845988
3842,"Great White - Once Bitten, Twice Shy",224625,"Great White - Once Bitten, Twice Shy",0.9989572759933804
3843,Prince - Batdance,224633,Prince - Batdance,0.9972300370213174
3844,Michael Damian - Rock On,224695,Michael Damian - Rock On - Ver. 09,0.7531499242330674
3845,Jody Watley - Real Love,166318,Jody Watley - I Want Your Love,0.7467665878902607
3846,B-52’s - Love Shack,232393,The B-52's - Love Shack,0.6748959230794955
3847,Bobby Brown - Every Little Step,330480,Bobby Brown - Every Little Step,0.996385978481288
3848,New Kids On The Block - Hangin’ Tough,224950,New Kids On The Block - Hangin' Tough,0.9403992439549437
3849,Rod Stewart - My Heart Can’t Tell You No,111831,Rod Stewart - My Heart Can't Tell Me No,0.8802279875445589
3850,Love and Rockets - So Alive,225083,Love and Rockets - So Alive,0.9962595686673332
3851,New Kids On The Block - You Got It (The Right Stuff),225095,New Kids On The Block - You Got It (The Right Stuff),0.9984261905937645
